fit1 131 1.49e-06
fit2 -106 10.4
fit3 -22.6 3.54
fit4 201 12.2
fit5 27.8 2.9
fit6 88 1.75
fit7 12 1.71
fit8 12.2 15.3
fit9 12.2 15.3
fit10 39.5 5.23
fit11 2.35 0.514
fit12 24.2 4.58
fit13 -7.86 1.29
fit14 57.8 7.28
fit15 -0.0134 0.406
fit16 12.2 15.3
fit17 12.2 15.3
fit18 21.2 2.1
fit19 0.652 0.204
fit20 2.52 1.05
fit21 21.7 2.42
fit22 -0.964 0.278
fit23 12.2 15.3
fit24 12.2 15.3
fit25 177 10.2
fit26 10.2 1.34
fit27 7.88 10.3
fit28 2.38 0.467
fit29 12.2 15.3
fit30 12.2 15.3
fit31 22.9 1.93
fit32 3.48 1.85
fit33 9.82 1.55
fit34 12.2 15.3
fit35 12.2 15.3
fit36 87.7 1.72
fit37 -2.74 1.54
fit38 12.2 15.3
fit39 12.2 15.3
fit40 13.2 1.69
fit41 12.2 15.3
fit42 12.2 15.3
fit43 12.2 15.3
fit44 12.2 15.3
fit45 12.2 15.3
